Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-10,4.788652171432032,4.788652171432032,4.673263072967529,4.673263072967529,9301,0.0,0
2019-10-11,4.769420893803109,4.836731433868408,4.759804905858549,4.836731433868408,3007,0.0,0
2019-10-14,4.807883687842782,4.8463467206642825,4.673263072967529,4.673263072967529,32562,0.0,0
2019-10-15,4.682878608455901,4.836731198472315,4.625184059143066,4.625184059143066,11280,0.0,0
2019-10-16,4.788652222854171,4.8271152560887,4.750189189619641,4.8078837394714355,13749,0.0,0
2019-10-17,4.798267707081572,4.817499682034703,4.625184059143066,4.625184059143066,13839,0.0,0
2019-10-18,4.6636471355841875,4.8078837394714355,4.615568573298788,4.8078837394714355,31418,0.0,0
2019-10-21,4.740573443389288,4.942504607408368,4.644415855407715,4.644415855407715,20637,0.0,0
2019-10-22,4.807883543067277,4.855962561904152,4.663646945072158,4.827115058898926,18492,0.0,0
2019-10-23,4.58672068952623,4.58672068952623,4.327095007421556,4.423252582550049,81927,0.0,0
2019-10-24,4.567489062419419,4.567489062419419,4.461715503115899,4.480947017669678,19286,0.0,0
2019-10-25,4.452100556147953,4.48094760248576,4.250169397721162,4.47133207321167,44717,0.0,0
2019-10-28,4.461716129346769,4.461716129346769,4.2405534516789585,4.3270955085754395,13619,0.0,0
2019-10-29,4.240553121696993,4.31747918472312,4.163627058670867,4.173243045806885,31842,0.0,0
2019-10-30,4.125164027157804,4.3270951718591375,4.077085008508724,4.173243045806885,45785,0.0,0
2019-10-31,4.144395466432521,4.2886320612024775,4.03862190246582,4.03862190246582,31956,0.0,0
2019-11-01,4.067469686354598,4.173243257642382,4.0290066528891355,4.057853698730469,40282,0.0,0
2019-11-04,4.057853502355912,4.192474571485744,4.057853502355912,4.077085018157959,44564,0.0,0
2019-11-05,4.182858489269503,4.307863568399759,4.115548414749744,4.134779930114746,35424,0.0,0
2019-11-06,4.1251641521622515,4.1251641521622515,4.01939058303833,4.01939058303833,37590,0.0,0
2019-11-07,4.0578530455312745,4.0578530455312745,4.019390018257268,4.029006004333496,6250,0.0,0
2019-11-08,4.105932623289199,4.230937708370833,4.105932623289199,4.115548610687256,73930,0.0,0
2019-11-11,4.125164391572905,4.182858943939209,4.10593287411747,4.182858943939209,49584,0.0,0
2019-11-12,4.192474931924699,4.2117064493801335,4.173243414469264,4.182858943939209,15938,0.0,0
2019-11-13,4.230937834838595,4.259784880864004,4.000159174057674,4.009775161743164,56325,0.0,0
2019-11-14,4.1443956829284785,4.298247814178467,3.9616960478113574,4.298247814178467,27324,0.0,0
2019-11-15,4.221321923833121,4.221321923833121,4.038622281129863,4.096317291259766,28584,0.0,0
2019-11-18,4.13478022417692,4.13478022417692,4.048238169621867,4.057853698730469,97520,0.0,0
2019-11-19,4.057853288073579,4.057853288073579,3.8655381402086624,3.9809272289276123,25344,0.0,0
2019-11-20,3.971311614042807,3.990543128409205,3.913617070943611,3.9424641132354736,27232,0.0,0
2019-11-21,3.942464506954448,3.9809275395284023,3.9040014743804936,3.904001474380493,166323,0.0,0
2019-11-22,3.9040014743804936,4.000159055815379,3.9040014743804936,3.904001474380493,28569,0.0,0
2019-11-25,3.913617372512818,3.9616959328758394,3.8559228249678887,3.9136173725128174,51791,0.0,0
2019-11-26,3.9809276317995446,4.125164236552791,3.8847700481358896,4.057853698730469,30569,0.0,0
2019-11-27,4.019390470751818,4.09631699247551,4.009774942108547,4.077085018157959,13033,0.0,0
2019-11-28,4.15401153988165,4.15401153988165,4.077085018157959,4.077085018157959,4931,0.0,0
2019-11-29,4.279016297772218,4.317479330584716,4.240553264959721,4.298247814178467,59827,0.0,0
2019-12-02,4.32709476844331,4.384789310334032,4.211705684661865,4.211705684661865,55289,0.0,0
2019-12-03,4.384789867264344,4.413637371131477,4.298247814178467,4.298247814178467,41629,0.0,0
2019-12-04,4.404021622728835,4.461716175079346,4.404021622728835,4.461716175079346,19020,0.0,0
2019-12-05,4.548257698084608,4.577105200125783,4.5146026611328125,4.5146026611328125,22024,0.0,0
2019-12-06,4.61556860491468,4.7694207389066605,4.548258067035425,4.711726188659668,46801,0.0,0
2019-12-09,4.663646808686115,4.663646808686115,4.548257717070719,4.605952262878418,12207,0.0,0
2019-12-10,4.663646635188312,4.663646635188312,4.480947017669678,4.480947017669678,19668,0.0,0
2019-12-11,4.577105110598244,4.663646697998047,4.490563064682959,4.663646697998047,39244,0.0,0
2019-12-12,4.625184293373049,4.70211036301921,4.509795188903809,4.509795188903809,35612,0.0,0
2019-12-13,4.567489144504502,4.615568161010742,4.519410127998261,4.615568161010742,17705,0.0,0
2019-12-16,4.596336559857106,4.605952087868621,4.577105045318603,4.5771050453186035,25185,0.0,0
